,VideoIndex,CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At,Is_Sarcastic
18,1,Ugzoujr46xunJJhee954AaABAg,@armelassue3461,Cool,1,0,2022-04-24T18:28:03Z,Sarcasm
19,1,Ugyd4rCKzRXdyHlJulN4AaABAg,@Lillegit,I really saw the kids grow up,2,0,2022-04-23T12:45:42Z,Not Sarcasm
20,1,UgxZd_dLn_5_9IYkEep4AaABAg,@kanikamaheshwari9732,Love love love. Jim Parsons and Iain Armitage🧁❤️💜💕,1,0,2022-04-22T01:44:19Z,Not Sarcasm
21,1,UgzlnJo-Xttny0JlhFp4AaABAg,@legendkid82,I just somehow figured out that this is Sheldon from Big bang theory,0,0,2022-04-16T09:06:20Z,Not Sarcasm
22,1,Ugy6jNvQwn4Ijw1QKiR4AaABAg,@jay-fh6wp,Oh,0,0,2022-04-10T15:47:20Z,Not Sarcasm
23,1,UgzBULKFSWEwDXDu28x4AaABAg,@southpaw1889,"Nice to see a show that remembers God, and the fact your testicles dont descend til youre 15",0,0,2022-04-01T00:58:42Z,Not Sarcasm
24,1,UgwWqN9F6zNRX4SScDh4AaABAg,@allenklein9789,I wonder if there is one black person that watches this show,0,0,2022-03-29T00:06:02Z,Not Sarcasm
25,1,UgyJTV_6Ou_R4lfqWKZ4AaABAg,@abenaaddison3397,Is sheldon from God,0,0,2022-03-26T18:30:37Z,Not Sarcasm
26,1,Ugxh6-3Fi0NgH8tQoBZ4AaABAg,@darrelljohnson5764,Missy “ your going to get your a$$ kicked in high school “  ! Spit my coffee out !,0,0,2022-03-15T16:17:48Z,Not Sarcasm
27,1,UgyxerLB13pvd1E5gdt4AaABAg,@quakecon2009,"I love young Sheldon, its absolutely amazing and makes me smile or laugh every 20-30 seconds.
I feel it works better when he's younger, because the impact and cuteness of him conflicts with his sharp tongue and mind :)

defo not a pedo, just a big fan.",3,0,2022-02-21T16:19:25Z,Not Sarcasm
28,1,Ugy0t9v8Wccj-f1aC3d4AaABAg,@mreinstein48,He s cute!!,0,0,2022-02-14T18:07:38Z,Not Sarcasm
29,1,Ugw_G_aBD7TkLpSdBpF4AaABAg,@bobbydelarosa5059,GOD IS KING  ✝️👑✝️👑✝️👑✝️👑✝️,0,1,2022-02-10T02:44:42Z,Not Sarcasm
30,1,UgzTHzmRw9xR_4xTaaR4AaABAg,@bobbydelarosa5059,AMEN,0,0,2022-02-10T02:44:24Z,Not Sarcasm
31,1,UgxW94pCuGvyHuv801d4AaABAg,@bobbydelarosa5059,PRAISE THE LORD,0,0,2022-02-10T02:44:18Z,Not Sarcasm
32,1,Ugys0-dzFWXFYJIdnSV4AaABAg,@bobbydelarosa5059,✝️👑✝️,0,0,2022-02-10T02:44:11Z,Not Sarcasm
33,1,UgwuQ0d7u5uc47Ndqf54AaABAg,@bobbydelarosa5059,GOD IS KIND,0,0,2022-02-10T02:44:06Z,Not Sarcasm
34,1,UgwK8aDa2LnTdPgnSXN4AaABAg,@bobbydelarosa5059,GOD IS AMAZING ✝️👑✝️,1,0,2022-02-10T02:43:34Z,Not Sarcasm
35,1,Ugxo2toKYcA3odkjigx4AaABAg,@bobbydelarosa5059,PLEASE PRAY FOR MY SISTER AND THAT SHE HAS MORE FAITH IN GOD✝️👑✝️👑✝️👑✝️👑✝️,0,0,2022-02-10T02:43:25Z,Not Sarcasm
36,1,Ugz-fG2KqM5klOM3YvJ4AaABAg,@bobbydelarosa5059,GOD IS GOOD ✝️👑✝️,0,0,2022-02-10T02:42:13Z,Not Sarcasm
37,1,UgzVjk03oNaJRbzuAZp4AaABAg,@bobbydelarosa5059,PLEASE PRAY FOR MY FAMILY AND THAT WE FIND OUR LIZARD ✝️👑✝️✝️,0,0,2022-02-10T02:42:04Z,Not Sarcasm
38,1,UgymKRkl3olGL9GjO3t4AaABAg,@bobbydelarosa5059,HALLELUJAH ✝️👑✝️,0,0,2022-02-10T02:41:53Z,Not Sarcasm
39,1,UgxC8xKtqioF08moS9l4AaABAg,@bobbydelarosa5059,JESUS SAVES ✝️👑✝️,0,0,2022-02-10T02:41:46Z,Not Sarcasm
40,1,UgwnTPCb9Eqsd3wSmiB4AaABAg,@bobbydelarosa5059,JESUS LOVES YOU ✝️,0,0,2022-02-10T02:40:07Z,Not Sarcasm
41,1,UgxaPRF23oVRR_JWzoZ4AaABAg,@kurtreber9813,"I can't believe I'm driving the same car they have, so cool!",0,0,2022-02-10T02:32:02Z,Sarcasm
42,1,UgwOX1OhqD8ShCVCXaB4AaABAg,@hemeranyx4441,It's my new FAVORITE FAVORITE SERIES! I am on Season 3!,2,1,2022-02-03T12:36:34Z,Not Sarcasm
43,1,UgyDPwCsoWfZItlUVgN4AaABAg,@peterhunt5072,Not a bad show..,0,0,2022-02-02T20:24:44Z,Not Sarcasm
44,1,UgyOSyXryb3qsWwh74J4AaABAg,@trevordipholo6014,nice show,2,0,2022-02-01T19:45:09Z,Not Sarcasm
45,1,Ugx2hXk90usv6Oy06yp4AaABAg,@highlordxeleth,"An entire show centered around an kid that is smarter than everyone else including every adults and is thus utterly insufferable about it because he has to remind everyone of it constantly? Yeah no thanks.
To everyone their own tastes I guess, but just in this clip I wanted to punch him to the next dimension quite a few times. There are reasons why such kids never go far in real life by keeping that attitude: NO ONE likes it, because no one likes narcissists. And once adult? This attitude, if you managed to keep it with everyone around you hating it, will have severe consequences straight away in your early life.
This isn't being smart or just arrogant. When you need to bring everyone down around you to remind them, harshly, and force it down their throats that you're the smartest: It's narcissism. No wonder this show has so much success...
Might look wholesome, but it's just narcissism, sorry guys.
Same reason I never found the adult Sheldon funny: Yeah, comedy, sitcom, funny, but when you understand he's just a pathological narcissist... yeah, makes it a whole lot less funny doesn't it?
Anyway, that was just my opinion. Peace.",0,0,2022-01-28T11:08:58Z,Sarcasm
46,1,UgyApjFpdH70Wvo3gfB4AaABAg,@benitachau,This show is so underrated,1,0,2022-01-25T03:15:15Z,Not Sarcasm
47,1,UgyfjolngFKcEAcRcsN4AaABAg,@nofilterbtxh5000,God I’d kill myself if I had a child like that!,1,0,2022-01-20T14:26:42Z,Sarcasm
48,1,UgxXk5EjuaE0uj0WfQp4AaABAg,@nathansaintus9927,Terrible Sitcom lol!,1,0,2022-01-18T15:20:31Z,Not Sarcasm
49,1,UgwOM7O3XQoWlmkeL854AaABAg,@ricardocjoulzenn2568,Young sheldon is nice without laugh tracks,0,0,2022-01-16T17:01:21Z,Not Sarcasm
50,1,UgyfHpjmIwWMmAk3UFV4AaABAg,@micah9320,I really really love Sheldon Cooper and his eccentricities. I just don't know why. hahahhaha,5,0,2022-01-14T04:07:04Z,Not Sarcasm
51,1,Ugx9MtN7ps_JIOurCsR4AaABAg,@yuvanyellapragada8211,I love this series,1,0,2022-01-12T08:43:22Z,Not Sarcasm
52,1,UgyxW6D1atsyDdd7uZJ4AaABAg,@Estocolmo97,Yoo Pondy got a new fam,0,0,2022-01-11T20:51:40Z,Not Sarcasm
53,1,Ugx-oxt98maIGpma_hl4AaABAg,@neozaland,Who come to like those series in 2022 :) ?,1,0,2022-01-09T11:48:07Z,Not Sarcasm
54,1,UgxPppqDBNY8wXfRZnN4AaABAg,@MichaelJohnson-yr2rj,I was wondering why they chose the cast which the mother has dyed blonde hair but she has dark hair the dad has dark hair but both kids except for sheldon has blonde hair  do they think the general public is stupid why didn't they choose kids that have dark hair like the mom and dad inconsistency just drives me crazy,0,0,2022-01-06T16:15:57Z,Not Sarcasm
55,1,Ugz5V_B7wnofQwVFQbF4AaABAg,@Rafaverdad,He looks like the problem child kid with Jhon Ritter,0,0,2022-01-03T17:53:29Z,Not Sarcasm
56,1,Ugw59yhboyyIPSf3iuN4AaABAg,@akwasi_osei,Sheldon is smart and  has a twin sister!,1,1,2021-12-31T16:20:50Z,Not Sarcasm
57,1,Ugyvp0FnhQyDvcY5uip4AaABAg,@marilynfranz7381,Though i enjoy the show one thing baffles me. If sheldon is so smart he went to college as a child how come he is still in college when penny and his new friends in big bang theory attend,0,0,2021-12-29T16:02:23Z,Not Sarcasm
58,1,UgxSFxC1aD7eUiUTxLN4AaABAg,@maxinetexasgal5114,New season of young Sheldon has a narrator??? PLEASE STOP 🛑🛑🛑🛑🛑 !!!?,0,0,2021-12-24T01:04:44Z,Not Sarcasm
59,1,Ugw9EYCaAu3VsJ1rHY94AaABAg,@catspetportugueclasseferna1430,👏🏻👏🏻👏🏻,0,0,2021-12-23T04:11:45Z,Not Sarcasm
60,1,Ugy7lQhDx8TaDx-vGFp4AaABAg,@Natty10272,"I have a friend that is the Sheldon of our group. Even looks like the young Sheldon, just got to add glasses",0,0,2021-12-20T13:30:51Z,Not Sarcasm
61,1,UgyiVCArag_w90OJ7Id4AaABAg,@hyacinth8522,This is brilliant!,1,0,2021-12-20T01:41:51Z,Not Sarcasm
62,1,UgzDBnXstli_ggInzXh4AaABAg,@eza4891,Mum plays unbelievable,0,0,2021-12-14T11:13:54Z,Not Sarcasm
63,1,UgwPDowkp5a3LsQowvJ4AaABAg,@lucasCKS09,where can i watch it i really wanna watch it big bang theory and young sheldoun,0,1,2021-12-09T09:22:59Z,Not Sarcasm
64,1,Ugze7-ZIFRaVyTypt3t4AaABAg,@alphonsabibin5707,So true tabitha,0,0,2021-12-05T18:19:41Z,Not Sarcasm
65,1,Ugxgy9Gjg6OLtsZhAlN4AaABAg,@NBA3245890,the fact this show has any fans😂😂. Dont even gotta say it yall all got bullied or sat alone in high school.,0,1,2021-11-26T19:08:48Z,Not Sarcasm
66,1,Ugz-h_1UNpgMTmXS_VJ4AaABAg,@shwingshao2017,Nobody mentions how the mother literally shows how crazy religious people are . Or do you watch this thinking she is normal? . The three kids are pretty phucked up cause their father is down to earth and the mother is just not in touch with reality .,0,0,2021-11-23T15:39:00Z,Not Sarcasm
67,1,Ugy0gryblR0qwDERC8p4AaABAg,@akshaymundkur,"Also in violation of the grooming code, you have a moustache 😂",0,0,2021-12-15T10:26:44Z,Not Sarcasm
68,1,UgyxuwoFGrhvJ5JKKIR4AaABAg,@joshberman3659,I just wonder if any of Sheldon's future roommates ever appeared on Young Sheldon as kids themselves?,0,2,2021-11-10T14:49:48Z,Sarcasm
69,1,Ugz43NVW2HOUOA_HcIF4AaABAg,@eve3363,Just a white version of Smart Guy.,1,0,2021-11-05T18:25:14Z,Sarcasm
70,1,UgwG6uZy8_SkuW6kmx94AaABAg,@marianlenehan9618,Great little series…First time watching it. Shame that the narrator’s voice is so irritating 😁,1,0,2021-11-04T19:47:24Z,Not Sarcasm
71,1,UgxZWD592nTTOFtIEb54AaABAg,@mrscashmorrisey1702,How is it that Sheldon doesn't have a Texan accent.,2,2,2021-11-02T00:42:32Z,Not Sarcasm
72,1,Ugz3SbePz1C2MeX_hyF4AaABAg,@oldchildhood8646,Ladies and Gentlemen. Young Sheldon is finally coming to Netflix UK on Monday. Hopefully all off the series will be added. Thank you Netflix.,10,0,2021-10-31T08:47:21Z,Not Sarcasm
73,1,UgxUi1Oi-wEroV7GxCF4AaABAg,@gentlebonfilms,Omg i don't notice throughout the seasons Georgie's voice was changing,1,0,2021-10-29T06:13:22Z,Not Sarcasm
74,1,UgxHXpXdsyvKKgzJ7qt4AaABAg,@jaketaylor3233,loloplolololol,1,0,2021-10-25T03:18:47Z,Not Sarcasm
75,1,UgyliAd_T4EjzbtSqdZ4AaABAg,@krystalannawilliams2653,Laughing,1,0,2021-10-21T01:01:56Z,Not Sarcasm
76,1,Ugxfva3U5YmqVUwJdF54AaABAg,@vampireladyish,The show sucks why they are making this show to unravel The Big Bang Theory is beyond me but it is stupid just like this show. I refuse to watch it since they are trying to ruin the Big Band Theory. Sheldon father was a drunk and a cheater. Then s show is a fantasy not good enough for me to watch. It is stupid but this is Hollywood for you. This is why I watch streaming app. and not Hollywood bullshit remakes reboots and lets not forget Hollywood does not know how to make horror movies. Hollywood and it movies and tv shows are a joke.,1,0,2021-10-17T13:41:38Z,Not Sarcasm
77,1,Ugx9-Xg1eoRfX-PFKkR4AaABAg,@kitsunestudios140,It’s funny how this show was just a fans idea and was just a meme to begin with. With Other people joining. But then became a reality. Just amazes me how the power of fans can create something,33,1,2021-10-14T08:12:24Z,Not Sarcasm
78,1,UgwvwGktaxHPrUBO5h14AaABAg,@prasadkarotia6806,Please keep young sheldon running without unnecessary drama... I beg you,2,0,2021-10-09T15:11:49Z,Not Sarcasm
79,1,UgyE3nr6_mgVZLLzqZ14AaABAg,@aizawashouta9132,"1:17
Sheldon predicted covid-19",1,0,2021-10-06T03:01:01Z,Not Sarcasm
80,1,UgwDspVlOQjL6gycA_t4AaABAg,@usmanchughtai1751,I don’t if it’s just me but the dad reminds me of a fat Howard,0,0,2021-10-02T20:37:45Z,Not Sarcasm
81,1,UgxF3rsPuF3icyE9ZVV4AaABAg,@davidleblanc9676,Not really he was scared of everything even himself and I shore hope his attitude changes,0,0,2021-09-29T23:33:59Z,Sarcasm
82,1,UgxoyhF-19lFqcrNzFl4AaABAg,@ricksanchez4925,This show sucks,0,0,2021-09-29T12:38:35Z,Not Sarcasm
83,1,UgxiGigS6hX0sDoojcl4AaABAg,@elizabethg2428,You shouldn’t be filming in churches,0,0,2021-09-28T16:53:54Z,Not Sarcasm
84,1,Ugx-5MKMhv5vwM4SJhN4AaABAg,@armandoalonso3459,"""Goodluck with your finger painting"" 😂🤣",0,0,2021-09-25T22:11:34Z,Not Sarcasm
85,1,UgyEumEv7t8iWhaITgJ4AaABAg,@ameliaalexander531,Where can I watch this without paying?,0,0,2021-09-19T09:59:16Z,Not Sarcasm
86,1,UgwcJok1q1KmnaF37YZ4AaABAg,@moneybagbri596,everybody hates chris and young sheldon is two most goated tv shows of all time,1,1,2021-09-17T22:45:10Z,Not Sarcasm
87,1,UgxGEhVJGqN0nNKvWTR4AaABAg,@Oropher420,"1:10 Sheldon predicted ""Think, Mark, Think"" meme?",0,0,2021-09-13T08:35:13Z,Not Sarcasm
88,1,UgyhKJqE7cmgRMrVntB4AaABAg,@meowscles1804,"""little Leonard""",0,0,2021-09-04T13:37:14Z,Not Sarcasm
89,1,UgzvX33_lVuUbfsDPDV4AaABAg,@annaflores2915,:)),0,0,2021-09-03T02:19:17Z,Not Sarcasm
90,1,Ugw-XF4w5XCu2Payud14AaABAg,@TheShowNT,I’m excited for young Sheldon going to fox,2,0,2021-09-01T22:31:12Z,Sarcasm
91,1,UgyZQAKGFqY5AI6xOTp4AaABAg,@deebodixon494,I’m convinced that he will be a Serial Killer once he’s grown! He’s just creepy and annoying little kid to me!💯👊🏾👊🏾,1,0,2021-08-29T12:49:50Z,Sarcasm
92,1,UgysWv8v3neOfNCh-714AaABAg,@astrosaremakingmesad2596,Great video,0,0,2021-08-28T14:52:13Z,Not Sarcasm
93,1,UgyZm7-XZJ_tg-kwGwR4AaABAg,@jakekong8489,1:43 She had it coming,0,0,2021-08-28T00:47:22Z,Not Sarcasm
94,1,UgxZAJVQQwZr0UX9tm14AaABAg,@alexrios2112,When did Annie Potts learned how to talk like Wanda Sykes?,0,0,2021-08-28T00:25:45Z,Not Sarcasm
95,1,UgxpzpXW9Sf5Y0K9EYZ4AaABAg,@divine_dawn8596,"While Young Sheldon might be a light and hearty series to watch, I would prefer if they give some more screen time to Missy. Also, while most of the characters are realistic and have admirable qualities, I just find it unfair the way Missy is treated. Sheldon always gets what he wants, while I sometimes feel that Missy is kinda left out, and I don't like it.",14,0,2021-08-21T14:42:56Z,Sarcasm
96,1,UgzxEIcS-pZckDCMd2R4AaABAg,@BibinVenugopal,He can act as young Sherlock also...,1,0,2021-08-13T11:25:57Z,Sarcasm
97,1,UgyBRi3dvFKgT456pvd4AaABAg,@sihleerasmus1610,Smart guy,0,0,2021-08-11T01:36:38Z,Not Sarcasm
98,1,Ugy23UFc1-0xs_YBveJ4AaABAg,@RichardSmithX,Georgie was wearing tommyinnit shirt,0,0,2021-08-08T15:11:32Z,Sarcasm
99,1,UgxadfLZ7IK8T-9YTbB4AaABAg,@williamchollick959,"As a Transformers prequel series set between Bumblebee (2018) and Transformers (2007):

0:31 - Central California
0:34 - 2001

0:56 - Sam Witwicky
0:57 - Age 9",2,0,2021-08-06T18:47:19Z,Not Sarcasm
100,1,UgyxyFj21dH2-R-JEkp4AaABAg,@hannahmariehortinela9314,I haven’t watched this show yet but I remember Sheldon said he knocks three times ever since he saw his dad with another woman 😟,2,0,2021-08-06T11:26:38Z,Not Sarcasm
101,1,Ugz35W613jcpq9_rsxJ4AaABAg,@reefsr432,We can't watch 🦆 DuckTales coz the monster 👹 gonna try to eat us Gula From Your Big Sister in Planet Earth 🌎,0,0,2021-08-01T06:03:30Z,Not Sarcasm
102,1,Ugzh5jTbVQEpsFsT7CB4AaABAg,@sw1rly801,So this is TBBT's Better call Saul?,0,0,2021-07-25T01:40:26Z,Not Sarcasm
103,1,UgzivoHLh81Raf9iweV4AaABAg,@takamanch,oh my science,0,0,2021-07-22T18:05:32Z,Not Sarcasm
104,1,Ugzi7Ngeb6_qMI1H6vN4AaABAg,@dabifaz7031,Honestly I can see Big Bang theory coming back but this with Sheldon and Amy having kids and the whole gang am I wrong ? Lol,0,0,2021-07-22T10:07:05Z,Not Sarcasm
105,1,UgwD2D7xtRuOhi_wfQF4AaABAg,@rooparavi9474,"Sheldon's mother character is really annoying..She is a control freak,selfish,irritating,illogical,nonsensical,over possessive, manipulative,bossy,opportunist.I can't even believe she hid all the letters from schools inviting Sheldon ,just because she thought Sheldon is not grown up enough(in fact she dint want Sheldon  away from her,that would be one less person to manipulate)",1,1,2021-07-21T05:45:43Z,Not Sarcasm
106,1,UgxmnIbo5MgDMg22zzB4AaABAg,@thalyasoriano5876,Where can i watch this?,0,0,2021-07-20T16:12:59Z,Not Sarcasm
107,1,UgwXfVz6E5MRRgr-ZcJ4AaABAg,@mohittyagi4510,Satvìk,0,0,2021-07-11T09:23:49Z,Not Sarcasm
108,1,UgzGMoqinsJsg5HSuy54AaABAg,@michdoug1,Has anyone tried spaghetti and sliced hot dogs?,0,0,2021-07-09T18:16:36Z,Not Sarcasm
109,1,UgyY4aPpuPKdwZgImnF4AaABAg,@raegansfidgets482,"Sheldon: “hey look, that girl is pregnant!”
Mom: “congratulations”  LOL",8,0,2021-07-08T18:41:20Z,Not Sarcasm
110,1,Ugzg258T4kxa8dBJC7R4AaABAg,@MM-bv7hi,Young S is so annoying,0,0,2021-06-30T22:00:46Z,Not Sarcasm
111,1,Ugwd0zjdyNnbwaub-Sl4AaABAg,@ramankaur7455,Where I can watch this show I want to  . Is anybody can tell me..?,1,0,2021-06-29T04:42:02Z,Not Sarcasm
112,1,Ugy54H_gbYd-qglOgah4AaABAg,@mariamnasr30,Should I watch it !?,1,2,2021-06-26T23:30:48Z,Not Sarcasm
113,1,UgxFvKhQdWokPpa3Ogt4AaABAg,@AmitCinematicUniverse,This is actor sells his Sheldon amazingly.,9,0,2021-06-21T17:59:03Z,Not Sarcasm
114,1,UgwHKTP4jGsVbI_2Iul4AaABAg,@brienluck4783,This show fosters hate against Christianity.,0,0,2021-06-14T01:56:26Z,Not Sarcasm
115,1,UgxFksWxMQ-aAGRl_Sd4AaABAg,@brienluck4783,This show is so disrespectful and irreverent.,2,0,2021-06-13T23:58:52Z,Not Sarcasm
116,1,UgwTQrrsLJ94dcjagf54AaABAg,@rajarajanmanoharan,And why does this look like it was shot in the 90’s?! WTF,0,0,2021-06-11T23:21:10Z,Not Sarcasm
117,1,UgwaKbfy-Ggx4XNRN2d4AaABAg,@rajarajanmanoharan,“Think monkey…think”. He predicted the meme.,0,0,2021-06-11T23:20:11Z,Not Sarcasm
118,1,UgxwGM2-6CZU1TpjXbt4AaABAg,@dnyldlgr,Where can i watch this?,0,0,2021-06-05T09:56:18Z,Not Sarcasm
119,1,UgwinFw1qAgJ-upnrYR4AaABAg,@prospermashinyira7197,Im gonna come out and say it... Young Sheldon sucks cause Sheldon is always getting the attention... It just one sided... Stopped watching on Season 3,0,0,2021-06-02T16:56:47Z,Not Sarcasm
120,1,Ugz905ytEhaw-VNFdKR4AaABAg,@theresaholguin699,I have been watching on HBO max. Sometimes l feel like punching Sheldon in his throat. He can be such a jerk.,0,0,2021-06-02T10:32:55Z,Sarcasm
121,1,UgzEmmCvZ8o-ajEXiix4AaABAg,@amanverma2321,i am like his elder brother.,0,0,2021-06-01T17:25:59Z,Not Sarcasm
122,1,UgwYWoaUpn6tHBCGdsF4AaABAg,@Jenz77,Now we on season 4 and boii they're growing so fast.,1,0,2021-05-31T12:01:27Z,Not Sarcasm
123,1,UgyVGkabQbFNNgQ2oal4AaABAg,@johnkalap9314,LMFAO!! So funny!!,0,0,2021-05-27T20:39:08Z,Not Sarcasm
124,1,UgwgWb9TrTecPl7ad694AaABAg,@crazyvideoholic9380,They should prolly make young Howard too.,1,0,2021-05-27T14:42:17Z,Not Sarcasm
125,1,UgyRtjWgG8E9birS0rN4AaABAg,@muhilas7750,His cuteness is too much to bear,8,0,2021-05-09T16:05:59Z,Not Sarcasm
126,1,UgxG73oAfSqhKdpw7-p4AaABAg,@superjay14,Everybody hates Chris?,1,0,2021-05-08T07:27:39Z,Not Sarcasm
127,1,Ugxji9D68uA7zpVRn8B4AaABAg,@neilconway4939,it's sad that Sheldon's dad died when he was a teenager,6,0,2021-04-19T23:14:23Z,Not Sarcasm
128,1,Ugw31TchjIDs30bzTgp4AaABAg,@princessnicolelucilo6189,I miss the big bang theory ;(,0,0,2021-03-16T05:41:52Z,Not Sarcasm
129,1,UgzokhglneiRDrAiBxh4AaABAg,@jamespangilinan6970,LMAOOOOO so cool,0,0,2021-03-13T13:37:30Z,Sarcasm
130,1,UgzgxeQAfibWvZU1u1V4AaABAg,@absolut6ix187,⭐⭐⭐⭐⭐,1,0,2021-03-10T13:28:39Z,Not Sarcasm
131,1,Ugz9gyKi62sPLAXrDt54AaABAg,@Dawson23a,People should respect their intellectual superiors.,0,0,2021-03-05T10:36:11Z,Not Sarcasm
132,1,UgwoVIsB-BahJh3ZvUZ4AaABAg,@moonchild7190,This made me cry. I always love big bang theory. Sheldon in general. JIM PARSONS IN GENERAAAAL!!!!,1,0,2021-02-27T11:48:51Z,Not Sarcasm
133,1,Ugz3sYUKRcEApqpCKRJ4AaABAg,@alichoi3828,This was tear dropping after long minute of laughing. 😂,8,0,2021-02-24T00:40:50Z,Not Sarcasm
134,1,Ugx4kISOXKXpNsCepIV4AaABAg,@Pixel_Pancake,Oh dear God this is me,0,0,2021-02-13T18:38:13Z,Not Sarcasm
135,1,UgwXRDocfaNXTAbOaGR4AaABAg,@zr1rocks,I just realized sheldon’s dad plays Leonarda bully in Big Bang Theory!,3,1,2021-02-09T20:28:33Z,Not Sarcasm
136,1,UgzIvnRRmMJQDM7CHdh4AaABAg,@Joao-lz2ry,I love it ❣️,2,0,2021-02-08T06:02:00Z,Not Sarcasm
137,1,UgwyP6oND_sGvY6iZBh4AaABAg,@XX-rr6lg,Good they bless the food each time. I m hooked on this show.,2,0,2021-02-07T06:09:40Z,Sarcasm
138,1,UgzhJejkjzVS6eLcJKB4AaABAg,@rogue_linner,If he's 9 yrs old why does he look like he's 5,1,0,2021-01-31T14:20:17Z,Not Sarcasm
139,1,UgzxTNkxq7JBrRO19fp4AaABAg,@meelisjuhkam1450,Sheldon is like me and I was diagnosed with autism why doctors don't get me my parents don't understand me and some people do but those are rare and I yeah  you shall see so he is going to learn so did I,0,0,2021-01-28T17:10:20Z,Not Sarcasm
140,1,UgyWgiaD3u4-bmPvx494AaABAg,@okikimakun4365,ugh,0,0,2021-01-10T05:29:56Z,Sarcasm
141,1,Ugzh_Kd3BivPTvu4lNd4AaABAg,@AMemEo,Ask Amy and Bernadette for Vaccines,0,0,2021-01-05T06:56:11Z,Not Sarcasm
142,1,UgxB9-lCLhF4asDtdft4AaABAg,@theamazinggamerdenley3758,AFTER WATCHING YOUNG SHELDON I THINK I AM THINKING THAT I AM THE SMARTEST AT OUR SCHOOL,5,1,2020-12-29T19:39:59Z,Not Sarcasm
143,1,UgyL91RbjYCgoafrtVx4AaABAg,@alishakenner6913,Nwaa he’s soooo cute ☺️🙂🙂🙂🙂🙂🙂,0,0,2020-12-23T20:00:53Z,Not Sarcasm
144,1,Ugy_dOHypINtLFzk_Zp4AaABAg,@lisaasbury1131,Noooooooooo00000000000⁰,0,0,2020-12-20T22:37:38Z,Not Sarcasm
